date,AQI
1394/12/15,91
1394/12/16,118
1394/12/17,92
1394/12/18,58
1394/12/19,68
1394/12/20,83
1394/12/21,82
1394/12/22,63
1394/12/23,81
1394/12/24,68
1394/12/25,63
1394/12/26,148
1394/12/27,102
1394/12/28,40
1394/12/29,42
1395/01/01,35
1395/01/02,46
1395/01/03,79
1395/01/04,53
1395/01/05,44
1395/01/06,63
1395/01/07,70
1395/01/08,56
1395/01/09,49
1395/01/10,83
1395/01/11,35
1395/01/12,36
1395/01/13,44
1395/01/14,54
1395/01/15,53
1395/01/16,61
1395/01/17,59
1395/01/18,77
1395/01/19,85
1395/01/20,74
1395/01/21,60
1395/01/22,75
1395/01/23,73
1395/01/24,88
1395/01/25,71
1395/01/26,69
1395/01/27,69
1395/01/28,46
1395/01/29,37
1395/01/30,44
1395/01/31,67
1395/02/01,43
1395/02/02,60
1395/02/03,60
1395/02/04,62
1395/02/05,75
1395/02/06,71
1395/02/07,82
1395/02/08,97
1395/02/09,73
1395/02/10,75
1395/02/11,89
1395/02/12,64
1395/02/13,66
1395/02/14,75
1395/02/15,69
1395/02/16,85
1395/02/17,70
1395/02/18,66
1395/02/19,78
1395/02/20,77
1395/02/21,67
1395/02/22,56
1395/02/23,71
1395/02/24,61
1395/02/25,64
1395/02/26,78
1395/02/27,79
1395/02/28,84
1395/02/29,80
1395/02/30,83
1395/02/31,76
1395/03/01,77
1395/03/02,73
1395/03/03,72
1395/03/04,68
1395/03/05,75
1395/03/06,84
1395/03/07,84
1395/03/08,74
1395/03/09,70
1395/03/10,63
1395/03/11,58
1395/03/12,60
1395/03/13,63
1395/03/14,69
1395/03/15,67
1395/03/16,106
1395/03/17,118
1395/03/18,146
1395/03/19,94
1395/03/20,107
1395/03/21,116
1395/03/22,103
1395/03/23,87
1395/03/24,74
1395/03/25,68
1395/03/26,128
1395/03/27,92
1395/03/28,63
1395/03/29,100
1395/03/30,101
1395/03/31,104
1395/04/01,85
1395/04/02,86
1395/04/03,85
1395/04/04,86
1395/04/05,81
1395/04/06,90
1395/04/07,92
1395/04/08,88
1395/04/09,82
1395/04/10,93
1395/04/11,84
1395/04/12,87
1395/04/13,110
1395/04/14,114
1395/04/15,104
1395/04/16,96
1395/04/17,82
1395/04/18,91
1395/04/19,94
1395/04/20,102
1395/04/21,81
1395/04/22,97
1395/04/23,100
1395/04/24,101
1395/04/25,71
1395/04/26,73
1395/04/27,80
1395/04/28,77
1395/04/29,84
1395/04/30,94
1395/04/31,97
1395/05/01,100
1395/05/02,91
1395/05/03,83
1395/05/04,82
1395/05/05,109
1395/05/06,112
1395/05/07,108
1395/05/08,94
1395/05/09,91
1395/05/10,83
1395/05/11,89
1395/05/12,95
1395/05/13,87
1395/05/14,85
1395/05/15,82
1395/05/16,76
1395/05/17,82
1395/05/18,84
1395/05/19,82
1395/05/20,92
1395/05/21,90
1395/05/22,85
1395/05/23,85
1395/05/24,87
1395/05/25,95
1395/05/26,94
1395/05/27,83
1395/05/28,83
1395/05/29,85
1395/05/30,81
1395/05/31,93
1395/06/01,89
1395/06/02,87
1395/06/03,85
1395/06/04,93
1395/06/05,90
1395/06/06,88
1395/06/07,94
1395/06/08,99
1395/06/09,96
1395/06/10,98
1395/06/11,101
1395/06/12,92
1395/06/13,124
1395/06/14,107
1395/06/15,103
1395/06/16,85
1395/06/17,103
1395/06/18,123
1395/06/19,84
1395/06/20,78
1395/06/21,98
1395/06/22,94
1395/06/23,86
1395/06/24,86
1395/06/25,94
1395/06/26,89
1395/06/27,89
1395/06/28,88
1395/06/29,65
1395/06/30,80
1395/06/31,85
1395/07/01,84
1395/07/02,75
1395/07/03,82
1395/07/04,91
1395/07/05,80
1395/07/06,81
1395/07/07,110
1395/07/08,98
1395/07/09,122
1395/07/10,76
1395/07/11,76
1395/07/12,77
1395/07/13,95
1395/07/14,97
1395/07/15,94
1395/07/16,91
1395/07/17,92
1395/07/18,95
1395/07/19,83
1395/07/20,75
1395/07/21,71
1395/07/22,71
1395/07/23,87
1395/07/24,80
1395/07/25,96
1395/07/26,90
1395/07/27,97
1395/07/28,95
1395/07/29,96
1395/07/30,94
1395/08/01,80
1395/08/02,83
1395/08/03,85
1395/08/04,78
1395/08/05,65
1395/08/06,85
1395/08/07,110
1395/08/08,116
1395/08/09,116
1395/08/10,110
1395/08/11,89
1395/08/12,99
1395/08/13,69
1395/08/14,86
1395/08/15,106
1395/08/16,99
1395/08/17,66
1395/08/18,70
1395/08/19,107
1395/08/20,123
1395/08/21,120
1395/08/22,136
1395/08/23,156
1395/08/24,155
1395/08/25,146
1395/08/26,154
1395/08/27,140
1395/08/28,124
1395/08/29,102
1395/08/30,70
1395/09/01,50
1395/09/02,53
1395/09/03,54
1395/09/04,49
1395/09/05,70
1395/09/06,94
1395/09/07,126
1395/09/08,126
1395/09/09,139
1395/09/10,152
1395/09/11,151
1395/09/12,126
1395/09/13,75
1395/09/14,64
1395/09/15,99
1395/09/16,108
1395/09/17,83
1395/09/18,106
1395/09/19,72
1395/09/20,78
1395/09/21,131
1395/09/22,66
1395/09/23,103
1395/09/24,135
1395/09/25,122
1395/09/26,60
1395/09/27,49
1395/09/28,47
1395/09/29,65
1395/09/30,65
1395/10/01,100
1395/10/02,126
1395/10/03,153
1395/10/04,154
1395/10/05,143
1395/10/06,138
1395/10/07,142
1395/10/08,94
1395/10/09,93
1395/10/10,124
1395/10/11,141
1395/10/12,151
1395/10/13,142
1395/10/14,54
1395/10/15,74
1395/10/16,51
1395/10/17,93
1395/10/18,130
1395/10/19,142
1395/10/20,159
1395/10/21,124
1395/10/22,127
1395/10/23,135
1395/10/24,113
1395/10/25,110
1395/10/26,83
1395/10/27,119
1395/10/28,124
1395/10/29,125
1395/10/30,133
1395/11/01,131
1395/11/02,104
1395/11/03,96
1395/11/04,91
1395/11/05,88
1395/11/06,114
1395/11/07,90
1395/11/08,118
1395/11/09,67
1395/11/10,73
1395/11/11,55
1395/11/12,101
1395/11/13,103
1395/11/14,96
1395/11/15,51
1395/11/16,82
1395/11/17,126
1395/11/18,134
1395/11/19,82
1395/11/20,97
1395/11/21,100
1395/11/22,89
1395/11/23,85
1395/11/24,65
1395/11/25,82
1395/11/26,85
1395/11/27,91
1395/11/28,58
1395/11/29,58
1395/11/30,44
1395/12/01,76
1395/12/02,111
1395/12/03,134
1395/12/04,124
1395/12/05,86
1395/12/06,75
1395/12/07,89
1395/12/08,82
1395/12/09,78
1395/12/10,88
1395/12/11,83
1395/12/12,77
1395/12/13,71
1395/12/14,90
1395/12/15,86
1395/12/16,66
1395/12/17,86
1395/12/18,114
1395/12/19,93
1395/12/20,100
1395/12/21,101
1395/12/22,63
1395/12/23,93
1395/12/24,86
1395/12/25,110
1395/12/26,74
1395/12/27,72
1395/12/28,61
1395/12/29,56
1395/12/30,50
1396/01/01,52
1396/01/02,38
1396/01/03,39
1396/01/04,38
1396/01/05,39
1396/01/06,58
1396/01/07,67
1396/01/08,59
1396/01/09,49
1396/01/10,44
1396/01/11,49
1396/01/12,66
1396/01/13,55
1396/01/14,50
1396/01/15,54
1396/01/16,71
1396/01/17,67
